No.,Player Name,Country,Position,Age,Salary
14,Jamie Benn,ca,F,33,"$1,000,000 "
63,Evgenii Dadonov,su,F,33,"$1,000,000 "
10,Ty Dellandrea,ca,F,22,"$832,500 "
18,Max Domi,ca,F,27,"$3,000,000 "
12,Radek Faksa,cz,F,29,"$4,000,000 "
11,Luke Glendening,us,F,33,"$1,500,000 "
2,Jani Hakanpaa,fi,D,30,"$1,500,000 "
44,Joel Hanley,ca,D,31,"$750,000 "
55,Thomas Harley,us,D,21,"$832,500 "
4,Miro Heiskanen,fi,D,23,"$7,000,000 "
24,Roope Hintz,fi,F,26,"$4,450,000 "
53,Wyatt Johnston,ca,F,19,"$832,500 "
25,Joel Kiviranta,fi,F,26,"$1,200,000 "
23,Esa Lindell,fi,D,28,"$5,000,000 "
5,Nils Lundkvist,se,D,22,"$832,500 "
27,Mason Marchment,ca,F,27,"$5,000,000 "
6,Colin Miller,ca,D,30,"$1,500,000 "
29,Jake Oettinger,us,G,24,"$1,400,000 "
42,Fredrik Olofsson,se,F,26,"$1,000,000 "
16,Joe Pavelski,us,F,38,"$5,500,000 "
21,Jason Robertson,us,F,23,"$1,500,000 "
91,Tyler Seguin,ca,F,31,"$5,000,000 "
20,Ryan Suter,us,D,38,"$4,000,000 "
41,Scott Wedgewood,ca,G,30,"$1,000,000 "
